Feature,Mean,Standard Deviation
Feature 257,-2.284031549751572e-15,1.0
Feature 258,1.6552416003502334e-16,0.9999999999999998
Feature 259,5.26006006428371e-15,1.0000000000000002
Feature 260,1.3131068202473532e-14,1.0
Feature 261,9.789202277071301e-16,0.9999999999999998
Feature 262,-2.6266867468972455e-15,0.9999999999999999
Feature 263,1.3181375183276859e-15,1.0000000000000002
Feature 264,-1.0486561114413978e-15,1.0
Feature 265,4.410613288738122e-15,1.0
Feature 266,-4.869841903469437e-15,1.0000000000000007
Feature 267,1.6007397427777257e-15,0.9999999999999999
Feature 268,-1.9282555350421468e-15,0.9999999999999999
Feature 269,-1.4342062890839522e-15,0.9999999999999997
Feature 270,-2.4031282014840887e-15,0.9999999999999999
Feature 271,-1.7102481047521161e-15,1.0000000000000002
Feature 272,-2.5197016190697303e-15,0.9999999999999998
Feature 273,3.823204379345539e-15,1.0000000000000002
Feature 274,-2.8522638796279022e-15,1.0
Feature 275,-5.497622559212025e-15,0.9999999999999998
Feature 276,1.5437146510583426e-15,0.9999999999999999
Feature 277,-5.307370704537623e-15,0.9999999999999999
Feature 278,-9.07354999216378e-15,1.0000000000000002
Feature 279,-5.278605835263245e-16,1.0
Feature 280,6.530129972113421e-16,0.9999999999999999
Feature 281,-6.622984988718434e-15,1.0
Feature 282,4.549391166816266e-15,1.0000000000000002
Feature 283,7.999661539253627e-15,1.0
Feature 284,-7.828081617266104e-15,0.9999999999999996
Feature 285,3.604187655396758e-15,0.9999999999999999
Feature 286,3.106605881632938e-15,0.9999999999999999
Feature 287,3.1353707509073172e-15,0.9999999999999999
Feature 288,6.2222954061946275e-15,1.0
Feature 289,-5.924553776863336e-15,1.0000000000000002
Feature 290,-5.3310891055182514e-15,0.9999999999999997
Feature 291,-1.0556202376867738e-14,1.0000000000000002
Feature 292,8.205557445638657e-16,0.9999999999999999
Feature 293,-4.511794978027824e-15,1.0000000000000002
Feature 294,1.091954809401779e-14,1.0000000000000002
Feature 295,1.1182973738951576e-15,1.0
Feature 296,-6.625003576035934e-15,0.9999999999999999
Feature 297,1.9287601818715218e-15,1.0
Feature 298,8.068293508048638e-15,1.0000000000000002
Feature 299,-1.7501152042727468e-15,0.9999999999999997
Feature 300,-3.9988214759680636e-15,1.0
Feature 301,4.0750231472036995e-16,1.0
Feature 302,1.6481765447389824e-15,0.9999999999999997
Feature 303,4.261237827243101e-15,1.0000000000000002
Feature 304,5.577356758253286e-15,0.9999999999999997
Feature 305,3.5133512261092453e-15,1.0
Feature 306,-7.41679445132542e-15,1.0000000000000002
Feature 307,-8.638039778413092e-15,1.0
Feature 308,5.879135562219579e-16,1.0
Feature 309,3.4719701861004897e-16,1.0
Feature 310,-7.065055611250996e-17,0.9999999999999998
Feature 311,2.688758306910379e-15,0.999999999999999
Feature 312,-4.652843766838156e-15,1.0
Feature 313,-2.7533531010703883e-15,0.9999999999999999
Feature 314,5.03233818252821e-15,0.9999999999999999
Feature 315,-5.4158697728532636e-15,1.0000000000000002
Feature 316,-2.515159797605355e-15,1.0
Feature 317,2.9875092299004213e-15,1.0000000000000002
Feature 318,3.698051965660522e-15,1.0
Feature 319,9.43689570931383e-15,0.9999999999999999
Feature 320,3.212581715801703e-15,1.0
Feature 321,1.2968161897865892e-14,1.0
Feature 322,3.868370270574608e-15,0.9999999999999992
Feature 323,1.0937336894753261e-14,1.0000000000000002
Feature 324,-6.77286509704283e-15,0.9999999999999999
Feature 325,4.431808455571875e-15,0.9999999999999999
Feature 326,-4.773959005888173e-16,1.0000000000000004
Feature 327,-8.195464509051156e-16,1.0000000000000002
Feature 328,-1.1465575963401616e-14,0.9999999999999996
Feature 329,6.1097591632439864e-15,1.0
Feature 330,-6.340382764268394e-15,1.0000000000000002
Feature 331,-1.5808692738710822e-15,0.9999999999999999
Feature 332,5.168088179630103e-15,0.9999999999999999
Feature 333,8.22372473149616e-15,1.0
Feature 334,-1.3356992279899384e-14,1.0
Feature 335,2.5292899088278566e-15,1.0000000000000002
Feature 336,-1.6754274735252362e-16,0.9999999999999997
Feature 337,-8.690018401838725e-16,1.0000000000000002
Feature 338,1.2006935849613725e-14,1.0
Feature 339,-1.5361449486177166e-15,0.9999999999999999
Feature 340,-3.701079846636772e-15,1.0000000000000002
Feature 341,-1.4765966227514583e-15,0.9999999999999999
Feature 342,5.217038922079486e-15,0.9999999999999999
Feature 343,-4.529709940470638e-15,1.0
Feature 344,-1.1748178187851657e-15,1.0000000000000002
Feature 345,-1.972159809197778e-15,0.9999999999999999
Feature 346,-2.194204414122809e-15,1.0
Feature 347,-2.576222063959738e-15,1.0
Feature 348,-1.6956133467002392e-15,1.0000000000000002
Feature 349,-4.351064962871863e-15,1.0
Feature 350,3.247906993857958e-15,1.0
Feature 351,-9.971821348451407e-16,0.9999999999999996
Feature 352,-5.419906947488264e-16,1.0000000000000002
Feature 353,-1.425425434252826e-14,1.0000000000000004
Feature 354,-6.1097591632439864e-15,0.9999999999999998
Feature 355,-2.2870594307278226e-15,1.0000000000000002
Feature 356,-2.809873545960396e-15,0.9999999999999996
Feature 357,1.326211867597687e-15,0.9999999999999998
Feature 358,-2.0576469820939152e-14,1.0
Feature 359,4.072499913056824e-15,1.0000000000000002
Feature 360,-7.31435114496228e-15,0.9999999999999999
Feature 361,5.526387428486404e-15,0.9999999999999999
Feature 362,1.5369523835447167e-14,0.9999999999999997
